,Unnamed: 0,codice_regione_ISTAT,codice_nuts_1,descrizione_nuts_1,codice_nuts_2,denominazione_regione,sigla_regione,latitudine_regione,longitudine_regione,range_eta,totale_genere_maschile,totale_genere_femminile,totale_generale
0,1,13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,0-19,111825,104823,216648
1,2,13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,20-29,67472,62611,130083
2,3,13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,30-39,76472,74241,150713
3,4,13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,40-49,94745,95315,190060
4,5,13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,50-59,100048,104109,204157
5,6,13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,60-69,80545,87160,167705
6,7,13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,70-79,60810,69762,130572
7,8,13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,80-89,34181,50307,84488
8,9,13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,90+,5645,13870,19515
9,11,17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,0-19,47711,44315,92026
10,12,17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,20-29,32068,29115,61183
11,13,17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,30-39,33556,31648,65204
12,14,17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,40-49,39260,39207,78467
13,15,17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,50-59,43150,44672,87822
14,16,17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,60-69,35360,37457,72817
15,17,17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,70-79,24050,27755,51805
16,18,17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,80-89,14507,21600,36107
17,19,17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,90+,2488,5335,7823
18,21,04,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,0-19,58019,54274,112293
19,22,04,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,20-29,31553,29541,61094
20,23,04,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,30-39,32108,31019,63127
21,24,04,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,40-49,37666,37998,75664
22,25,04,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,50-59,42217,41322,83539
23,26,04,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,60-69,27838,29203,57041
24,27,04,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,70-79,21422,25191,46613
25,28,04,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,80-89,11056,16052,27108
26,29,04,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,90+,1713,4452,6165
27,31,18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,0-19,176749,166382,343131
28,32,18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,20-29,110520,103369,213889
29,33,18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,30-39,120086,116582,236668
