id,amenity,name,addr:street,addr:housenumber,addr:city
7,restaurant,Trattoria da Nennella,Vico Teatro Nuovo,105,Napoli
8,restaurant,Il Pomodorino,Via San Carlo,27;28;29;30;31,Napoli
38,restaurant,L.u.i.s.e.,Via Toledo,266,Napoli
41,restaurant,Antica Capri,Via Speranzella,110,Napoli
42,restaurant,Baccalaria,Piazzetta di Porto,4,Napoli
43,restaurant,Il Gobbetto,Via Sergente Maggiore,8,Napoli
44,restaurant,Osteria della Mattonella,Via Giovanni Nicotera,13,Napoli
45,restaurant,Osteria da Tonino,Via Santa Teresa a Chiaia,47,Napoli
49,restaurant,Trattoria Pizza & Babà,Via Montecalvario,3;4,Napoli
50,restaurant,Pizzeria 'Ntretella,Vico Maddalenella degli Spagnoli,19,Napoli
51,restaurant,Rossopomodoro,Piazza Trieste e Trento,7;8,Napoli
52,restaurant,Da Peppino,Vico Lungo del Gelso,58,Napoli
53,restaurant,Trattoria e Pizzeria 'O Vesuvio,Via Speranzella,118,Napoli
66,restaurant,Trattoria Annaré,Vico Lungo del Gelso,78,Napoli
70,restaurant,Pizza a Portafoglio da Gennaro Salvo,Via Toledo,244,Napoli
71,restaurant,Dal Soldino,Via Carlo De Cesare,59,Napoli
72,restaurant,Pizzeria Ristorante 7 Soldi,Vico Tre Re a Toledo,6,Napoli
77,restaurant,Ristorante al Cucciolo,Vico Berio,5;8,Napoli
79,restaurant,Ciro a Santa Brigida,Via Santa Brigida,71;74,Napoli
80,restaurant,Trattoria Pizzeria i DDuje Scugnizzi,Via Santa Brigida,49;50,Napoli
81,restaurant,Trattoria del Golfo,Via Santa Brigida,56,Napoli
82,restaurant,Napoli in Bocca,Via San Carlo,17;18;19,Napoli
83,restaurant,Trattoria Pizzeria Add'à Signora,Via Vittorio Emanuele III,52,Napoli
84,bar,Snack Bar 900,Via Paolo Emilio Imbriani,48,Napoli
85,restaurant,Trattoria Lo Spacco,Vico Corrieri a Santa Brigida,37,Napoli
86,restaurant,Pizzaioli Veraci,Vico Tre Re a Toledo,1,Napoli
87,restaurant,'A Figlia d' 'a Manuzzara,Vico San Sepolcro,103:104,Napoli
88,restaurant,Pranzo Fisso Giovannone,Via Portacarrese a Montecalvario,1,Napoli
89,restaurant,Trattoria da Francesca,Via San Giacomo,27;28,Napoli
90,restaurant,O'Break,Via Ponte di Tappia,31,Napoli
92,restaurant,Nu murzill' sapurito,Vico Sergente Maggiore,47,Napoli
93,restaurant,Cantina della Tofa,Vico della Tofa,71,Napoli
94,restaurant,Trattoria Medina,Via Medina,43,Napoli
95,restaurant,Fratelli Medina,Via Medina,31;32,Napoli
96,restaurant,SoloPizza,Via Medina,19,Napoli
97,restaurant,Fratelli la Bufala,Via Medina,18,Napoli
98,bar,Taberna Zeza,Via Medina,12,Napoli
99,restaurant,Trattoria Toledo,Vico Teatro Nuovo,47,Napoli
100,bar,Bar Seccia,Via Concordia,66,Napoli
101,bar,La Dolce Sosta,Via Concordia,74,Napoli
102,bar,Cammarota Spritz,Vico Lungo Teatro Nuovo,31,Napoli
104,restaurant,KOI Sushi Restaurant,Via Monteoliveto,35;36,Napoli
117,restaurant,Add‘o Pizzeria e Friggitoria,Via Speranzella,52,Napoli
120,restaurant,Osteria Don Maccarone,Gradoni di Chiaia,12,Napoli
140,restaurant,Pizzeria Pizze d'Autore del Maestro Pizzaziolo Gigi Sorbillo,Via Palepoli,8,Napoli
