id,amenity,name,addr:street,addr:housenumber,addr:city
0,cinema,Reale,Piazza Sidney Sonnino,3,Roma
1,cinema,Quattro Fontane,Via delle Quattro Fontane,23,Roma
2,restaurant,Pizzeria ai Marmi,Viale di Trastevere,53,Roma
3,restaurant,Ristorante Old Hang Zhou,Via di San Martino ai Monti,33C,Roma
4,restaurant,Dar filettaro a Santa Barbara,Largo dei Librari,88,Roma
5,restaurant,Ai Tre Scalini,Via Panisperna,251,Roma
6,cinema,Royal,Via Emanuele Filiberto,175,Roma
7,restaurant,Pizzeria Formula 1,Via degli Equi,13,Roma
8,cinema,Europa,Corso d'Italia,107,Roma
10,restaurant,Mok,Piazza Fiume,77,Roma
11,restaurant,Hang Zhou,Via Principe Eugenio,82,Roma
12,restaurant,Antica Trattoria Tritone,Via dei Maroniti,1,Roma
15,restaurant,Dal Bolognese,Piazza del Popolo,1,Roma
18,restaurant,Taverna del Seminario,Via del Seminario,105,Roma
20,bar,Harry's Bar,Via Vittorio Veneto,150,Roma
22,restaurant,Tazio Restaurant,Piazza della Repubblica,47,Roma
25,restaurant,Doveralu,Via Nazionale,215,Roma
26,restaurant,Osteria Margutta,Via Margutta,82,Roma
27,restaurant,RistorArte Il Margutta,Via Margutta,118,Roma
29,cinema,Cinema Europa,Corso d'Italia,107,Roma
30,cinema,Fiamma,Via Leonida Bissolati,47,Roma
36,restaurant,La Pace del Cervello,Via dei Santi Quattro,63,Roma
39,restaurant,Al Cavallino Bianco,Via Emanuele Filiberto,27,Roma
41,restaurant,Il Miraggio,Vicolo Sciarra,59,Roma
45,restaurant,Wang Xian Lou,Via del Viminale,5/A,Roma
46,restaurant,Roadhouse Grill,Via Marsala,27,Roma
47,restaurant,La Pace,Via Madonna dei Monti,53-56,Roma
48,restaurant,Lago Azzurro,Via San Vito,15-16,Roma
50,restaurant,Old Bear,Via dei Gigli d'Oro,3,Roma
58,cinema,Cineclub Detour,Via Urbana,107,Roma
60,restaurant,Il Podista,Via Tiburtina,224-226,Roma
64,restaurant,Da Giggetto,Via Portico d'Ottavia,21/A - 22,Roma
65,bar,Pretorius Cafe',Via San Martino della Battaglia,27,Roma
69,restaurant,Taverna Antonina,Via della Colonna Antonina,48,Roma
75,restaurant,Renato e Luisa,Via dei Barbieri,25,Roma
76,bar,Chocolat,Via del Teatro Valle,54A,Roma
78,restaurant,Da Gino,Vicolo Rosini,4,Roma
