,address,house_number,cap,municipality,province_code,province,region
5155,Via Comacchio,4,20139,Milano,MI,Milano,Lombardia
5156,Via Comacchio,4,20139,Milano,MI,Milano,Lombardia
5157,Via Comacchio,4,20139,Milano,MI,Milano,Lombardia
5158,Via Comacchio,4,20139,Milano,MI,Milano,Lombardia
5159,Via C. Farini,5 - Ang. Ceresio,20154,Milano,MI,Milano,Lombardia
5160,Via Schiapparelli,4,20125,Milano,MI,Milano,Lombardia
5161,Via Buonarroti,5,20149,Milano,MI,Milano,Lombardia
5162,Via Buonarroti,5,20149,Milano,MI,Milano,Lombardia
5163,Via Buonarroti,5,20149,Milano,MI,Milano,Lombardia
5164,Via Buonarroti,5,20149,Milano,MI,Milano,Lombardia
5165,Viale Bligny,47,20136,Milano,MI,Milano,Lombardia
5166,Viale Bligny,47,20136,Milano,MI,Milano,Lombardia
5167,V.le Monza,43/B,20127,Milano,MI,Milano,Lombardia
5168,Viale Monza,43/B,20127,Milano,MI,Milano,Lombardia
5169,Via Pacini,30,20131,Milano,MI,Milano,Lombardia
5170,Via Aldini,108,20157,Milano,MI,Milano,Lombardia
5171,Piazzale Di Porta Lodovica,2,20136,Milano,MI,Milano,Lombardia
5172,P.le Lodovica,2,20136,Milano,MI,Milano,Lombardia
5173,Piazza 5 Giornate,7,20129,Milano,MI,Milano,Lombardia
5174,Piazza Cinque Giornate,7,20129,Milano,MI,Milano,Lombardia
5175,Piazza 5 Giornate,7,20129,Milano,MI,Milano,Lombardia
5176,Via S. Galdino,11,20154,Milano,MI,Milano,Lombardia
5177,Via A. Saffi,6,20123,Milano,MI,Milano,Lombardia
5178,Via A. Saffi,6,20123,Milano,MI,Milano,Lombardia
5179,Via A. Saffi,6,20123,Milano,MI,Milano,Lombardia
5180,Piazza Bausan,3,20158,Milano,MI,Milano,Lombardia
5181,Piazza Cavour,5,20121,Milano,MI,Milano,Lombardia
5182,Corso Concordia,16,20129,Milano,MI,Milano,Lombardia
5183,Via Orefici,2,20123,Milano,MI,Milano,Lombardia
5184,Via Fontana 1 - Angolo C.so Porta Vittoria,36,20122,Milano,MI,Milano,Lombardia
5185,C.so Porta Vittoria,36,20122,Milano,MI,Milano,Lombardia
5186,Via Canonica,6,20154,Milano,MI,Milano,Lombardia
5187,Via Pontaccio,22,20121,Milano,MI,Milano,Lombardia
5188,Piazzale Sempione,8,20154,Milano,MI,Milano,Lombardia
5189,Via Bigli,28 (ang.via Manzoni),20121,Milano,MI,Milano,Lombardia
5190,Via Bigli,28,20121,Milano,MI,Milano,Lombardia
5191,Via S. Agnese,3,20123,Milano,MI,Milano,Lombardia
5192,Via Giardini Aristice Calderini,3,20123,Milano,MI,Milano,Lombardia
5193,Corso Vercelli,5,20144,Milano,MI,Milano,Lombardia
5194,Piazza Lima,1,20129,Milano,MI,Milano,Lombardia
5195,Via Plinio,1 ( ang.Piazza Lima),20129,Milano,MI,Milano,Lombardia
5196,Piazza Baiamonti,1,20154,Milano,MI,Milano,Lombardia
5197,Corso Colombo,1,20144,Milano,MI,Milano,Lombardia
5198,Via Lamarmora,2,20122,Milano,MI,Milano,Lombardia
5199,Via S. Giovanni Sul Muro,9,20121,Milano,MI,Milano,Lombardia
5200,Via S. Giovanni Sul Muro,9,20121,Milano,MI,Milano,Lombardia
5201,Via S. Giovanni Sul Muro,9,20121,Milano,MI,Milano,Lombardia
5202,Via S. Giovanni Sul Muro,7,20121,Milano,MI,Milano,Lombardia
5203,Via S. Giovanni Sul Muro,9,20121,Milano,MI,Milano,Lombardia
5204,Via Stradivari,1,20131,Milano,MI,Milano,Lombardia
5205,Via Stradivari,1,20131,Milano,MI,Milano,Lombardia
5206,Via Larga,6,20122,Milano,MI,Milano,Lombardia
5207,Via Larga,6,20122,Milano,MI,Milano,Lombardia
5208,Piazza Vesuvio,14,20144,Milano,MI,Milano,Lombardia
5209,Via Leone Tolstoj,17,20146,Milano,MI,Milano,Lombardia
5210,Via Leone Tolstoj,17,20146,Milano,MI,Milano,Lombardia
5211,Via Leone Tolstoj,17,20146,Milano,MI,Milano,Lombardia
5212,Via Leone Tolstoj,17,20146,Milano,MI,Milano,Lombardia
5213,Via S. Vittore,12,20123,Milano,MI,Milano,Lombardia
5214,Via Sardegna,31,20146,Milano,MI,Milano,Lombardia
5215,Via Sardegna,31,20146,Milano,MI,Milano,Lombardia
5216,Via Plinio,11,20129,Milano,MI,Milano,Lombardia
5217,Via Plinio,11,20129,Milano,MI,Milano,Lombardia
5218,Via Monte Palombino,9,20138,Milano,MI,Milano,Lombardia
5219,Via Lagrange,2,20136,Milano,MI,Milano,Lombardia
5220,Via Lagrange,2,20136,Milano,MI,Milano,Lombardia
5221,Via Lagrange,2,20136,Milano,MI,Milano,Lombardia
5222,Via Mazzini,12,20123,Milano,MI,Milano,Lombardia
5223,Via Mazzini,12,20123,Milano,MI,Milano,Lombardia
5224,Via Mazzini,12,20123,Milano,MI,Milano,Lombardia
5225,Via Monte Rosa,27,20149,Milano,MI,Milano,Lombardia
5226,Via Monte Rosa,27,20149,Milano,MI,Milano,Lombardia
5227,Corso S. Gottardo,1,20136,Milano,MI,Milano,Lombardia
5228,Via Bellotti,1,20129,Milano,MI,Milano,Lombardia
5229,Via Leopoldo Pollak,8,20153,Milano,MI,Milano,Lombardia
5230,Via Novara,90,20153,Milano,MI,Milano,Lombardia
5231,Via Novara,90,20153,Milano,MI,Milano,Lombardia
5232,Via Leopoldo Pollak,8,20153,Milano,MI,Milano,Lombardia
5233,Via Novara,90,20153,Milano,MI,Milano,Lombardia
5234,Via Novara,90,20153,Milano,MI,Milano,Lombardia
5235,Via Degli Imbriani,28 Ang. Via Ugoni,20158,Milano,MI,Milano,Lombardia
5236,Via Degli Imbriani,28 Ang. Via Ugoni,20158,Milano,MI,Milano,Lombardia
5237,Via Degli Imbriani,35,20158,Milano,MI,Milano,Lombardia
5238,Via Ruggero Di Lauria,22,20149,Milano,MI,Milano,Lombardia
5239,Via R. Di Lauria,22,20149,Milano,MI,Milano,Lombardia
5240,P.za Duca D'aosta,4,20124,Milano,MI,Milano,Lombardia
5241,Via V. Pisani,26,20124,Milano,MI,Milano,Lombardia
5242,Corso Buenos Ayres,55,20124,Milano,MI,Milano,Lombardia
5243,C.so Buenos Ayres,55,20124,Milano,MI,Milano,Lombardia
5244,Via Nicola Piccinni,1,20131,Milano,MI,Milano,Lombardia
5245,Via Nicola Piccinni,1/3,20131,Milano,MI,Milano,Lombardia
5246,Via Washington,98,20146,Milano,MI,Milano,Lombardia
5247,Via Pier Della Francesca,3,20154,Milano,MI,Milano,Lombardia
5248,Via Pier Della Francesca,3,20154,Milano,MI,Milano,Lombardia
5249,Via Pier Della Francesca,3,20154,Milano,MI,Milano,Lombardia
5250,Viale Monte Nero,59,20135,Milano,MI,Milano,Lombardia
5251,Viale Monte Nero,59,20135,Milano,MI,Milano,Lombardia
5252,Via Crema,17,20135,Milano,MI,Milano,Lombardia
5253,Via Crema,17,20135,Milano,MI,Milano,Lombardia
5254,Via Crema,17,20135,Milano,MI,Milano,Lombardia
5255,Via Crema,17,20135,Milano,MI,Milano,Lombardia
5256,Via Novara,3,20147,Milano,MI,Milano,Lombardia
5257,Via Novara,3,20147,Milano,MI,Milano,Lombardia
5258,Via Carducci,11,20123,Milano,MI,Milano,Lombardia
5259,Via Carducci,11,20123,Milano,MI,Milano,Lombardia
5260,Via Strigelli,2,20135,Milano,MI,Milano,Lombardia
5261,Via Strigelli,2,20135,Milano,MI,Milano,Lombardia
5262,Via Strigelli,2,20135,Milano,MI,Milano,Lombardia
5263,V.le Montenero,37,20135,Milano,MI,Milano,Lombardia
5264,Viale Montenero,37,20135,Milano,MI,Milano,Lombardia
5265,Viale Montenero,37,20135,Milano,MI,Milano,Lombardia
5266,Viale Montenero,37,20135,Milano,MI,Milano,Lombardia
5267,Viale Affori,10,20161,Milano,MI,Milano,Lombardia
5268,Piazzale Gabrio Piola,1,20131,Milano,MI,Milano,Lombardia
5269,Piazza Piola,1,20131,Milano,MI,Milano,Lombardia
5270,P.za Piola,1,20131,Milano,MI,Milano,Lombardia
5271,Piazzale Gabrio Piola,1,20131,Milano,MI,Milano,Lombardia
5272,P.za Piola,1,20131,Milano,MI,Milano,Lombardia
5273,Via Visconti Di Modrone,1,20122,Milano,MI,Milano,Lombardia
5274,Via Visconti Di Modrone,1,20122,Milano,MI,Milano,Lombardia
5275,Via Alamanni,2,20141,Milano,MI,Milano,Lombardia
5276,Via Alamanni,2,20141,Milano,MI,Milano,Lombardia
5277,Via Alamanni,2,20141,Milano,MI,Milano,Lombardia
5278,Piazzale Gorini,14,20133,Milano,MI,Milano,Lombardia
5279,Via S. Marco,18,20121,Milano,MI,Milano,Lombardia
5280,Corso Garibaldi,49,20121,Milano,MI,Milano,Lombardia
5281,Corso P.ta Ticinese,50,20123,Milano,MI,Milano,Lombardia
5282,Via S. Vincenzo,1,20123,Milano,MI,Milano,Lombardia
5283,Via S. Vincenzo,1,20123,Milano,MI,Milano,Lombardia
5284,Via S. Vincenzo,1,20123,Milano,MI,Milano,Lombardia
5285,Corso Magenta,96,20123,Milano,MI,Milano,Lombardia
5286,Corso Magenta,96,20123,Milano,MI,Milano,Lombardia
5287,Viale Romagna,25,20133,Milano,MI,Milano,Lombardia
5288,V.le Romagna,25,20133,Milano,MI,Milano,Lombardia
5289,Corso Buenos Aires,39,20124,Milano,MI,Milano,Lombardia
5290,C.so Buens Ayres,39,20124,Milano,MI,Milano,Lombardia
