,address,house_number,cap,municipality,province_code,province,region
20911,Via Chiaia,153,80121,Napoli,,Napoli,Campania
20912,Via Chiaia,153,80121,Napoli,,Napoli,Campania
20913,Via Chiaia,153,80121,Napoli,,Napoli,Campania
20914,Via Santa Lucia,60,80132,Napoli,,Napoli,Campania
20915,Via Santa Lucia,60,80132,Napoli,,Napoli,Campania
20916,Via Santa Lucia,60,80132,Napoli,,Napoli,Campania
20917,Piazza Salvatore Di Giacomo,192,80123,Napoli,,Napoli,Campania
20918,Piazza Salvatore Di Giacomo,121-122,80123,Napoli,,Napoli,Campania
20919,Piazza Salvatore Di Giacomo,192,80123,Napoli,,Napoli,Campania
20920,Piazza Salvatore Di Giacomo,121-122,80123,Napoli,,Napoli,Campania
20921,Piazza Salvatore Di Giacomo,121-122,80123,Napoli,,Napoli,Campania
20922,Largo Carolina,14,80132,Napoli,,Napoli,Campania
20923,Largo Carolina,14,80132,Napoli,,Napoli,Campania
20924,Largo Carolina,14,80132,Napoli,,Napoli,Campania
20925,Via Dei Mille,55,80121,Napoli,,Napoli,Campania
20926,Via Dei Mille,55,80121,Napoli,,Napoli,Campania
20927,Via Dei Mille,55,80121,Napoli,,Napoli,Campania
20928,Via Dei Mille,55,80121,Napoli,,Napoli,Campania
20929,Via Dei Mille,55,80121,Napoli,,Napoli,Campania
20930,Riviera Di Chiaia,8/9,80122,Napoli,,Napoli,Campania
20931,Riviera Di Chiaia,8/9,80122,Napoli,,Napoli,Campania
20932,Riviera Di Chiaia,8,80132,Napoli,,Napoli,Campania
20933,Riviera Di Chiaia,8,80122,Napoli,,Napoli,Campania
20934,Piazzetta Torretta,8,80122,Napoli,,Napoli,Campania
20935,Riviera Di Chiaia,8/9,80122,Napoli,,Napoli,Campania
20936,Piazzetta Torretta,8,80122,Napoli,,Napoli,Campania
20937,Riviera Di Chiaia,8,80122,Napoli,,Napoli,Campania
20938,Via Alessandro Manzoni,113/b,80123,Napoli,,Napoli,Campania
20939,Via Alessandro Manzoni,113/b,80123,Napoli,,Napoli,Campania
20940,Via Alessandro Manzoni,113/b,80123,Napoli,,Napoli,Campania
20941,Via Alessandro Manzoni,113/b,80123,Napoli,,Napoli,Campania
