,address,house_number,cap,municipality,province_code,province,region
16334,Via G. Branca,62,153,Roma,RM,Roma,Lazio
16335,Via G. Branca,62,153,Roma,RM,Roma,Lazio
16336,Via Tagliamento,58/60,198,Roma,RM,Roma,Lazio
16337,Via Tagliamento,58/60,192,Roma,RM,Roma,Lazio
16338,Via Dei Serpenti,177,184,Roma,RM,Roma,Lazio
16339,Via Dei Serpenti,177,184,Roma,RM,Roma,Lazio
16340,Piazza San Bartolomeo All'isola,39,186,Roma,RM,Roma,Lazio
16341,Isola Tiberina,39,186,Roma,RM,Roma,Lazio
16342,Isola Tiberina,39,186,Roma,RM,Roma,Lazio
16343,Piazza San Cosimato,34-35 (Mercato),153,Roma,RM,Roma,Lazio
16344,Piazza San Cosimato,34-35 (Mercato),153,Roma,RM,Roma,Lazio
16345,Piazza San Cosimato,34-35 (Mercato),153,Roma,RM,Roma,Lazio
16346,Via Roma Libera,34,153,Roma,RM,Roma,Lazio
16347,Via Nazionale,228,184,Roma,RM,Roma,Lazio
16348,Via Nazionale,228,184,Roma,RM,Roma,Lazio
16349,Via Nazionale,228,184,Roma,RM,Roma,Lazio
16350,Via S. Gallicano,23,153,Roma,RM,Roma,Lazio
16351,Via S. Gallicano,23,153,Roma,RM,Roma,Lazio
16352,Via Del Corso,498,186,Roma,RM,Roma,Lazio
16353,Via Del Corso,498,186,Roma,RM,Roma,Lazio
16354,Via Del Gambero,13 A,187,Roma,RM,Roma,Lazio
16355,Via Della Vite,1/A,187,Roma,RM,Roma,Lazio
16356,Via Del Gambero,13 A,187,Roma,RM,Roma,Lazio
16357,Via Del Gambero,13 A,187,Roma,RM,Roma,Lazio
16358,Via Del Gambero,13 A,187,Roma,RM,Roma,Lazio
16359,Via Del Gambero,13 A,187,Roma,RM,Roma,Lazio
16360,Via Gargano,50,141,Roma,RM,Roma,Lazio
16361,Via Gargano,50,141,Roma,RM,Roma,Lazio
16362,Via Gargano,50,141,Roma,RM,Roma,Lazio
16363,Piazza San Lorenzo In Lucina,27,186,Roma,RM,Roma,Lazio
16364,Piazza S. Lorenzo In Lucina,27,186,Roma,RM,Roma,Lazio
16365,P.za S. Lorenzo In Lucina,27,186,Roma,RM,Roma,Lazio
16366,Piazza Lecce,13/14,161,Roma,RM,Roma,Lazio
16367,Piazza Lecce,13/14,161,Roma,RM,Roma,Lazio
16368,Piazza Lecce,13/14,161,Roma,RM,Roma,Lazio
16369,Piazza Lecce,13/14,161,Roma,RM,Roma,Lazio
16370,Via Pantelleria,13,141,Roma,RM,Roma,Lazio
16371,Via Pantelleria,13,141,Roma,RM,Roma,Lazio
16372,Viale Jonio,353,141,Roma,RM,Roma,Lazio
16373,Viale Jonio,353,141,Roma,RM,Roma,Lazio
16374,Via Pantelleria,13,141,Roma,RM,Roma,Lazio
16375,Via Pantelleria,13,141,Roma,RM,Roma,Lazio
16376,Via Di Capo Le Case,47,187,Roma,RM,Roma,Lazio
16377,Piazza Santiago Del Cile,23,197,Roma,RM,Roma,Lazio
16378,Viale Parioli,78/80,197,Roma,RM,Roma,Lazio
16379,Piazza Santiago Del Cile,23,197,Roma,RM,Roma,Lazio
16380,V.le Parioli,78/80,197,Roma,RM,Roma,Lazio
16381,V.le Regina Margherita,221/223,198,Roma,RM,Roma,Lazio
16382,V.le Regina Margherita,221/223,198,Roma,RM,Roma,Lazio
16383,Viale Regina Margherita,221/223,198,Roma,RM,Roma,Lazio
16384,Via Rapagnano,2,138,Roma,RM,Roma,Lazio
16385,Via G.b. Morgagni,30/C-30/D,161,Roma,RM,Roma,Lazio
16386,Via G.b. Morgagni,30,161,Roma,RM,Roma,Lazio
16387,Via G.b. Morgagni,30,161,Roma,RM,Roma,Lazio
16388,Piazza Di Trevi,89,187,Roma,RM,Roma,Lazio
16389,Piazza Di Trevi,89,187,Roma,RM,Roma,Lazio
16390,Via Migiurtina,43/45,199,Roma,RM,Roma,Lazio
16391,Via Migiurtina,43/45,199,Roma,RM,Roma,Lazio
